Saggio;EsitoSaggio;Molecola;Fonte;Note
SOLUBILITA NaHCO3;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA NaHCO3;POSITIVO;CAFFEINA;SOLUBILE;SOLUBILE
SOLUBILITA NAOH;NEGATIVO;BENZOCAINA;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;CAFFEINA;;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;CALCIO GLICEROFOSFATO;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;CALCIO GLICEROFOSFATO;;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;CALCIO LATTATO;SCHEDE;
SOLUBILITA NAOH;NEGATIVO;CHINIDINA SOLFATO;;
SOLUBILITA NAOH;NEGATIVO;CHININA HCl;SCHEDE;
SOLUBILITA NAOH;NEGATIVO;CLORBUTANOLO;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;CORTISONE ACETATO;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;DAPSONE;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;DIFENIDRAMINA HCl;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;ECONAZOLO NITRATO;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;IDROCORTISONE;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;IMIPRAMINA HCl;;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;LIDOCAINA HCl;DAZEBAO;
SOLUBILITA NAOH;NEGATIVO;MAGNESIO ASPARTATO;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;PREDNISONE;SCHEDE;
SOLUBILITA NAOH;NEGATIVO;PROCAINA HCl;;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;PROGESTERONE;DAZEBAO;MOLTO POCO SOLUBILE
SOLUBILITA NAOH;NEGATIVO;PROPIFENAZONE;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;SPIRONOLATTONE;SCHEDE;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;SULFAGUANIDINA;DAZEBAO;INSOLUBILE
SOLUBILITA NAOH;NEGATIVO;TEOFILLINA;;INSOLUBILE
SOLUBILITA NAOH;POSITIVO;ACIDO ACETILSALICILICO;SCHEDE;
SOLUBILITA NAOH;POSITIVO;ACIDO BENZOICO;SCHEDE;
SOLUBILITA NAOH;POSITIVO;ACIDO NICOTINICO;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;ACIDO SORBICO;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;ACIDO TANNICO;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;CAPTOPRIL;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;CISTEINA HCl;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;CLORAMINA T;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;DESAMETASONE SODIO FOSFATO;SCHEDE;
SOLUBILITA NAOH;POSITIVO;FENAZONE;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;FENILALANINA;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;FENOLO;SCHEDE;
SOLUBILITA NAOH;POSITIVO;FTALILSULFATIAZOLO;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;FUROSEMIDE;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;GLICINA;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;IDROCLOROTIAZIDE;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;INDOMETACINA;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;ISONIAZIDE;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;LATTOSIO;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;MANNITOLO;;
SOLUBILITA NAOH;POSITIVO;METFORMINA HCl;;POCO SOLUBILE
SOLUBILITA NAOH;POSITIVO;METILPARABEN;SCHEDE;
SOLUBILITA NAOH;POSITIVO;METIONINA;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;NICOTINAMIDE;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;PARACETAMOLO;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;POTASSIO TARTRATO;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;PROBENECID;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;PROCAINAMMIDE HCl;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;PROLINA;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;PROPILPARABEN;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;SACCARINA;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SERINA;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SODIO BENZOATO;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SODIO CITRATO;SCHEDE;POCO SOLUBILE
SOLUBILITA NAOH;POSITIVO;SODIO P-AMMINO SALICILATO;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SODIO SALICILATO;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SORBITOLO;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SUCRALOSIO;SCHEDE;SOLUBILE
SOLUBILITA NAOH;POSITIVO;SULFADIAZINA;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;SULFAMERAZINA;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;SULFATIAZOLO;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;TEOBROMINA;DAZEBAO;SOLUBILE
SOLUBILITA NAOH;POSITIVO;TIMOLO;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;TOLBUTAMIDE;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;TREONINA;;SOLUBILE
SOLUBILITA NAOH;POSITIVO;VALINA;DAZEBAO;
SOLUBILITA NAOH;POSITIVO;VANILLINA;SCHEDE;
SPETTROSCOPIA;INFO;ACIDO NICOTINICO;DAZEBAO;VISIBILE PICCO DEL CARBONILE A 1704
SPETTROSCOPIA;INFO;BENZOCAINA;DAZEBAO;SI DISTINGUE BENE BANDA CARBONILE
SPETTROSCOPIA;INFO;CHINIDINA SOLFATO;DAZEBAO;SI DISTINGUE BENE DA CHININA SOLFATO CON IR
TALLEIOCHINA (ALC CHINOLINICI);POSITIVO;CHINIDINA SOLFATO;SCHEDE;SOLUZIONE VERDE ACQUA
TALLEIOCHINA (ALC CHINOLINICI);POSITIVO;CHININA HCl;SCHEDE;
TALLEIOCHINA (ALC CHINOLINICI);POSITIVO;CHININA SOLFATO;DAZEBAO;VERDE ACQUA OPACO E PPT
UREA & FLUORESCENZA (CITRATI);POSITIVO;ACIDO CITRICO;SCHEDE;
UREA & FLUORESCENZA (CITRATI);POSITIVO;ACIDO TARTARICO;SCHEDE;FLUORESCENZA VERDE-BLU
UREA & FLUORESCENZA (CITRATI);POSITIVO;LITIO CITRATO;SCHEDE;
UREA & FLUORESCENZA (CITRATI);POSITIVO;SODIO CITRATO;SCHEDE;
UREA & FLUORESCENZA (CITRATI);POSITIVO;SODIO CITRATO;SCHEDE;
VANILLINA (ISONIAZIDE);NEGATIVO;CALCIO PANTOTENATO;SCHEDE;
VANILLINA (ISONIAZIDE);NEGATIVO;NICOTINAMIDE;SCHEDE;
VITALI-MORIN;NEGATIVO;CHINIDINA SOLFATO;SCHEDE;
VITALI-MORIN;NEGATIVO;DIFENIDRAMINA HCl;;ARANCIONE
VITALI-MORIN;NEGATIVO;METRONIDAZOLO;;
VITALI-MORIN;NEGATIVO;TEOFILLINA;;
VITALI-MORIN;POSITIVO;IMIPRAMINA HCl;;VIOLA INTENSO
VITALI-MORIN;POSITIVO;LIDOCAINA HCl;DAZEBAO;COLORAZIONE GIALLO CHIARO, VERDE NON APPREZZABILE
VITALI-MORIN;POSITIVO;SCOPOLAMINA HBr;;
ZINKE-KONIG (PIRIDINE);POSITIVO;ACIDO NICOTINICO;DAZEBAO;COLORAZIONE ROSSO SCURO INTENSO
ZINKE-KONIG (PIRIDINE);POSITIVO;FENAZONE;;COLORAZIONE ROSSO CHE POI SI SCURISCE E DIVIENE MARRONE
ZINKE-KONIG (PIRIDINE);POSITIVO;ISONIAZIDE;;ROSSO INTENSO
ZINKE-KONIG (PIRIDINE);POSITIVO;NICOTINAMIDE;DAZEBAO;COLORAZIONE ROSSO INTENSO
ZINKE-KONIG (PIRIDINE);POSITIVO;NICOTINAMIDE;;
ZINKE-KONIG (PIRIDINE);POSITIVO;PIRIDOSSINA HCl;;COLORAZIONE ARANCIONE
VITALI-MORIN;POSITIVO;PROPIFENAZONE;;
CORALINA (ALC ISOCHINOLINICI);POSITIVO;PROPIFENAZONE;;
NINIDRINA (AMINOACIDI);NEGATIVO;TEOFILLINA;;
AMMINE TERZIARIE (DRAGENDORFF);POSITIVO;IMIPRAMINA HCl;;
AMMINE TERZIARIE (BOUCHARDAT);POSITIVO;IMIPRAMINA HCl;;ARANCIONE BRILLANTE
AMMINE TERZIARIE (MAYER);POSITIVO;IMIPRAMINA HCl;;
AgNO3 & NH4OH (FOSFATI);POSITIVO;CLOROCHINA BIFOSFATO;;
SOLUBILITA NAOH;POSITIVO;FENILEFRINA HCl;;
SOLUBILITA HCL;POSITIVO;FENILEFRINA HCl;;
AgNO3 (ALOGENURI);POSITIVO;FENILEFRINA HCl;;PPT BIANCO
IDROSSILAMMINA (ESTERI & AMMIDI);NEGATIVO;FENILEFRINA HCl;;
AMMINE TERZIARIE (ACIDO CITRICO E ANIDRIDE ACETICA);POSITIVO;PROMETAZINA HCl;;COLORAZIONE NERO-VIOLA
SOLUBILITA ACQUA;POSITIVO;CALCIO GLUCONATO;;SOLUBILE, pH=7
PROVA AL COCCIO;POSITIVO;CALCIO GLUCONATO;;NON LASCIA RESIDUO
SOLUBILITA NAOH;POSITIVO;CALCIO GLUCONATO;;
SOLUBILITA HCL;POSITIVO;CALCIO GLUCONATO;;
SOLUBILITA ETOH;POSITIVO;CALCIO GLUCONATO;;
FILO Ni-Cr;POSITIVO;CALCIO GLUCONATO;;ROSSO MATTONE
